sample,sra_run,timepoint
t300_1,SRR8611943,300
t300_2,SRR8611944,300
t300_3,SRR8611945,300
t300_4,SRR8611946,300
t300_5,SRR8611947,300
t300_6,SRR8611948,300
t300_7,SRR8611949,300
t300_8,SRR8611950,300
t300_9,SRR8611951,300
t300_10,SRR8611952,300
t300_11,SRR8611953,300
t300_12,SRR8611954,300
t400_1,SRR8611955,400
t400_2,SRR8611956,400
t400_3,SRR8611957,400
t400_4,SRR8611958,400
t400_5,SRR8611959,400
t400_6,SRR8611960,400
t400_7,SRR8611961,400
t400_8,SRR8611962,400
t400_9,SRR8611963,400
t400_10,SRR8611964,400
t400_11,SRR8611965,400
t400_12,SRR8611966,400
t500_1,SRR8611979,500
t500_2,SRR8611980,500
t500_3,SRR8611981,500
t500_4,SRR8611982,500
t500_5,SRR8611983,500
t500_6,SRR8611984,500
t500_7,SRR8611985,500
t500_8,SRR8611986,500
